Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
OR997941.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN25	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2023-07			Human papillomavirus 51 isolate 51YN25, complete genome	HPV_51	Global	2023-07-15	OR997941_1|Global|HPV_51|51YN25|2023-07-15
OR997942.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN24	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-06			Human papillomavirus 51 isolate 51YN24, complete genome	HPV_51	Global	2023-06-15	OR997942_1|Global|HPV_51|51YN24|2023-06-15
OR997943.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN23	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-05			Human papillomavirus 51 isolate 51YN23, complete genome	HPV_51	Global	2023-05-15	OR997943_1|Global|HPV_51|51YN23|2023-05-15
OR997944.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN22	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-05			Human papillomavirus 51 isolate 51YN22, complete genome	HPV_51	Global	2023-05-15	OR997944_1|Global|HPV_51|51YN22|2023-05-15
OR997945.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN20	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-04			Human papillomavirus 51 isolate 51YN20, complete genome	HPV_51	Global	2023-04-15	OR997945_1|Global|HPV_51|51YN20|2023-04-15
OR997946.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN19	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-12			Human papillomavirus 51 isolate 51YN19, complete genome	HPV_51	Global	2022-12-15	OR997946_1|Global|HPV_51|51YN19|2022-12-15
OR997947.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN18	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-11			Human papillomavirus 51 isolate 51YN18, complete genome	HPV_51	Global	2022-11-15	OR997947_1|Global|HPV_51|51YN18|2022-11-15
OR997948.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN17	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-10			Human papillomavirus 51 isolate 51YN17, complete genome	HPV_51	Global	2022-10-15	OR997948_1|Global|HPV_51|51YN17|2022-10-15
OR997949.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN16	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-10			Human papillomavirus 51 isolate 51YN16, complete genome	HPV_51	Global	2022-10-15	OR997949_1|Global|HPV_51|51YN16|2022-10-15
OR997950.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN15	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2022-10			Human papillomavirus 51 isolate 51YN15, complete genome	HPV_51	Global	2022-10-15	OR997950_1|Global|HPV_51|51YN15|2022-10-15
OR997951.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN14	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-10			Human papillomavirus 51 isolate 51YN14, complete genome	HPV_51	Global	2022-10-15	OR997951_1|Global|HPV_51|51YN14|2022-10-15
OR997952.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN13	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2022-10			Human papillomavirus 51 isolate 51YN13, complete genome	HPV_51	Global	2022-10-15	OR997952_1|Global|HPV_51|51YN13|2022-10-15
OR997953.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN12	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-09			Human papillomavirus 51 isolate 51YN12, complete genome	HPV_51	Global	2022-09-15	OR997953_1|Global|HPV_51|51YN12|2022-09-15
OR997954.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN11	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-09			Human papillomavirus 51 isolate 51YN11, complete genome	HPV_51	Global	2022-09-15	OR997954_1|Global|HPV_51|51YN11|2022-09-15
OR997955.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN10	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-09			Human papillomavirus 51 isolate 51YN10, complete genome	HPV_51	Global	2022-09-15	OR997955_1|Global|HPV_51|51YN10|2022-09-15
OR997956.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN09	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-09			Human papillomavirus 51 isolate 51YN09, complete genome	HPV_51	Global	2022-09-15	OR997956_1|Global|HPV_51|51YN09|2022-09-15
OR997957.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN08	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2022-07			Human papillomavirus 51 isolate 51YN08, complete genome	HPV_51	Global	2022-07-15	OR997957_1|Global|HPV_51|51YN08|2022-07-15
OR997958.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN07	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7811	complete	NA	NA	China	China	Homo sapiens	cervix	2022-07			Human papillomavirus 51 isolate 51YN07, complete genome	HPV_51	Global	2022-07-15	OR997958_1|Global|HPV_51|51YN07|2022-07-15
OR997959.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN06	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-07			Human papillomavirus 51 isolate 51YN06, complete genome	HPV_51	Global	2022-07-15	OR997959_1|Global|HPV_51|51YN06|2022-07-15
OR997960.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN05	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-06			Human papillomavirus 51 isolate 51YN05, complete genome	HPV_51	Global	2022-06-15	OR997960_1|Global|HPV_51|51YN05|2022-06-15
OR997961.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN04	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2023-03			Human papillomavirus 51 isolate 51YN04, complete genome	HPV_51	Global	2023-03-15	OR997961_1|Global|HPV_51|51YN04|2023-03-15
OR997962.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN03	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-06			Human papillomavirus 51 isolate 51YN03, complete genome	HPV_51	Global	2022-06-15	OR997962_1|Global|HPV_51|51YN03|2022-06-15
OR997963.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN02	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-06			Human papillomavirus 51 isolate 51YN02, complete genome	HPV_51	Global	2022-06-15	OR997963_1|Global|HPV_51|51YN02|2022-06-15
OR997964.1	human papillomavirus 51	GenBank			Feng,M., Lan,S., Zhang,H., Yang,Y.	Institute of Medical Biology, Chinese Academy of Medical Sciences, Viral Immunology	China	2025-01-13	51YN01	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	7812	complete	NA	NA	China	China	Homo sapiens	cervix	2022-06			Human papillomavirus 51 isolate 51YN01, complete genome	HPV_51	Global	2022-06-15	OR997964_1|Global|HPV_51|51YN01|2022-06-15
PP922121.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-06-30	InDRE-23Chis/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7837	complete	NA	NA	Mexico	Mexico	Homo sapiens		2022-09			Human papillomavirus 18 isolate InDRE-23Chis/Mexico/2023, complete genome	HPV_18	Global	2022-09-15	PP922121_1|Global|HPV_18|InDRE-23Chis/Mexico/2023|2022-09-15
PP781981.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-05-22	InDRE-243Chis/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7836	complete	NA	NA	Mexico	Mexico	Homo sapiens		2023			Human papillomavirus 18 isolate InDRE-243Chis/Mexico/2023, complete genome	HPV_18	Global	2023-07-01	PP781981_1|Global|HPV_18|InDRE-243Chis/Mexico/2023|2023-07-01
PP781982.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-05-22	InDRE-49Yuc/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	NA	Mexico	Mexico	Homo sapiens		2023			Human papillomavirus 18 isolate InDRE-49Yuc/Mexico/2023, complete genome	HPV_18	Global	2023-07-01	PP781982_1|Global|HPV_18|InDRE-49Yuc/Mexico/2023|2023-07-01
PP781983.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-05-22	InDRE-27NL/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	NA	Mexico	Mexico	Homo sapiens		2023			Human papillomavirus 18 isolate InDRE-27NL/Mexico/2023, complete genome	HPV_18	Global	2023-07-01	PP781983_1|Global|HPV_18|InDRE-27NL/Mexico/2023|2023-07-01
PP781984.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-05-22	InDRE-121Mex/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	NA	Mexico	Mexico	Homo sapiens		2023			Human papillomavirus 18 isolate InDRE-121Mex/Mexico/2023, complete genome	HPV_18	Global	2023-07-01	PP781984_1|Global|HPV_18|InDRE-121Mex/Mexico/2023|2023-07-01
PP781985.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-05-22	InDRE-53Oax/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	NA	Mexico	Mexico	Homo sapiens		2023			Human papillomavirus 18 isolate InDRE-53Oax/Mexico/2023, complete genome	HPV_18	Global	2023-07-01	PP781985_1|Global|HPV_18|InDRE-53Oax/Mexico/2023|2023-07-01
PP781986.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-05-22	InDRE-41Tams/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	NA	Mexico	Mexico	Homo sapiens		2023			Human papillomavirus 18 isolate InDRE-41Tams/Mexico/2023, complete genome	HPV_18	Global	2023-07-01	PP781986_1|Global|HPV_18|InDRE-41Tams/Mexico/2023|2023-07-01
PP781987.1	human papillomavirus 18	GenBank			Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.	Instituto de Diagnostico y Referencia Epidemiologicos (InDRE) Dr. Manuel Martinez Baez, Secretaria de Salud, Departamento de Biologia Molecular y Validacion de Tecnicas	Mexico	2024-05-22	InDRE-27Ags/Mexico/2023	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7836	complete	NA	NA	Mexico	Mexico	Homo sapiens		2023			Human papillomavirus 18 isolate InDRE-27Ags/Mexico/2023, complete genome	HPV_18	Global	2023-07-01	PP781987_1|Global|HPV_18|InDRE-27Ags/Mexico/2023|2023-07-01
PP718696.1	human papillomavirus 230	GenBank			Ramos,E., Couto,R., Tozetto-Mendoza,T., Bortoletto,P., Barbosa,E., Ferreira,N., Linhares,I., Spandorfer,S., Costa,A., Leal,E., Mendes-Correa,M.	Federal University of Para, Institute of Biological Sciences		2024-05-06	C05_HPV230	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	dsDNA	7959	complete	230	NA	USA	USA	Homo sapiens		2022-02-17			Human papillomavirus 230 isolate C05_HPV230, complete genome	HPV_230	Global	2022-02-17	PP718696_1|Global|HPV_230|C05_HPV230|2022-02-17
PP718697.1	human papillomavirus 83	GenBank			Ramos,E., Couto,R., Tozetto-Mendoza,T., Bortoletto,P., Barbosa,E., Ferreira,N., Linhares,I., Spandorfer,S., Costa,A., Leal,E., Mendes-Correa,M.	Federal University of Para, Institute of Biological Sciences		2024-05-06	C09a_HPV83	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8331	complete	83	NA	USA	USA	Homo sapiens		2022-02-25			Human papillomavirus 83 isolate C09a_HPV83, complete genome	HPV_83	Global	2022-02-25	PP718697_1|Global|HPV_83|C09a_HPV83|2022-02-25
PP718698.1	human papillomavirus 83	GenBank			Ramos,E., Couto,R., Tozetto-Mendoza,T., Bortoletto,P., Barbosa,E., Ferreira,N., Linhares,I., Spandorfer,S., Costa,A., Leal,E., Mendes-Correa,M.	Federal University of Para, Institute of Biological Sciences		2024-05-06	C09b_HPV83	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8333	complete	83	NA	USA	USA	Homo sapiens		2022-07-06			Human papillomavirus 83 isolate C09b_HPV83, complete genome	HPV_83	Global	2022-07-06	PP718698_1|Global|HPV_83|C09b_HPV83|2022-07-06
PP718699.1	Human papillomavirus type 190	GenBank			Ramos,E., Couto,R., Tozetto-Mendoza,T., Bortoletto,P., Barbosa,E., Ferreira,N., Linhares,I., Spandorfer,S., Costa,A., Leal,E., Mendes-Correa,M.	Federal University of Para, Institute of Biological Sciences		2024-05-06	C14_HPV190	Human papillomavirus type 190	Gammapapillomavirus	Papillomaviridae	dsDNA	7598	complete	190	NA	USA	USA	Homo sapiens		2022-05-03			Human papillomavirus type 190 isolate C14_HPV190, complete genome	HPV_190	Global	2022-05-03	PP718699_1|Global|HPV_190|C14_HPV190|2022-05-03
PP718700.1	human papillomavirus 51	GenBank			Ramos,E., Couto,R., Tozetto-Mendoza,T., Bortoletto,P., Barbosa,E., Ferreira,N., Linhares,I., Spandorfer,S., Costa,A., Leal,E., Mendes-Correa,M.	Federal University of Para, Institute of Biological Sciences		2024-05-06	C16a_HPV51	Alphapapillomavirus 5	Alphapapillomavirus	Papillomaviridae	dsDNA	8080	complete	51	NA	USA	USA	Homo sapiens		2022-02-18			Human papillomavirus 51 isolate C16a_HPV51, complete genome	HPV_51	Global	2022-02-18	PP718700_1|Global|HPV_51|C16a_HPV51|2022-02-18
PP718702.1	human papillomavirus 84	GenBank			Ramos,E., Couto,R., Tozetto-Mendoza,T., Bortoletto,P., Barbosa,E., Ferreira,N., Linhares,I., Spandorfer,S., Costa,A., Leal,E., Mendes-Correa,M.	Federal University of Para, Institute of Biological Sciences		2024-05-06	C18a_HPV84	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	dsDNA	8461	complete	84	NA	USA	USA	Homo sapiens		2022-02-23			Human papillomavirus 84 isolate C18a_HPV84, complete genome	HPV_84	Global	2022-02-23	PP718702_1|Global|HPV_84|C18a_HPV84|2022-02-23
